r_x,f,t,y,m,r_y,l,r,ProductionByTechnologyByMode
RE1,PHL_PWR_WAT,PHL_DEM_PWR_GWT_WAT,2053,1,RE1,1,RE1,1.8123
RE1,PHL_PWR_WAT,PHL_DEM_PWR_SUR_WAT,2020,1,RE1,1,RE1,0.4433
RE1,PHL_PWR_WAT,PHL_DEM_PWR_SUR_WAT,2022,1,RE1,1,RE1,1.7387
RE1,PHL_PWR_WAT,PHL_DEM_PWR_SUR_WAT,2023,1,RE1,1,RE1,0.3764
RE1,PHL_PWR_WAT,PHL_DEM_PWR_SUR_WAT,2024,1,RE1,1,RE1,0.5085
RE1,PHL_PWR_WAT,PHL_DEM_PWR_SUR_WAT,2026,1,RE1,1,RE1,0.4476
RE1,PHL_PWR_WAT,PHL_DEM_PWR_SUR_WAT,2027,1,RE1,1,RE1,0.4998
RE1,PHL_PWR_WAT,PHL_DEM_PWR_SUR_WAT,2028,1,RE1,1,RE1,0.5376
RE1,PHL_PWR_WAT,PHL_DEM_PWR_SUR_WAT,2029,1,RE1,1,RE1,0.5762
RE1,PHL_PWR_WAT,PHL_DEM_PWR_SUR_WAT,2030,1,RE1,1,RE1,0.7017
RE1,PHL_PWR_WAT,PHL_DEM_PWR_SUR_WAT,2031,1,RE1,1,RE1,0.6918
RE1,PHL_PWR_WAT,PHL_DEM_PWR_SUR_WAT,2033,1,RE1,1,RE1,0.7935
RE1,PHL_PWR_WAT,PHL_DEM_PWR_SUR_WAT,2035,1,RE1,1,RE1,0.6079
RE1,PHL_PWR_WAT,PHL_DEM_PWR_SUR_WAT,2036,1,RE1,1,RE1,0.8057
RE1,PHL_PWR_WAT,PHL_DEM_PWR_SUR_WAT,2037,1,RE1,1,RE1,2.4161
RE1,PHL_PWR_WAT,PHL_DEM_PWR_SUR_WAT,2038,1,RE1,1,RE1,4.2178
RE1,PHL_PWR_WAT,PHL_DEM_PWR_SUR_WAT,2039,1,RE1,1,RE1,5.3989
RE1,PHL_PWR_WAT,PHL_DEM_PWR_SUR_WAT,2040,1,RE1,1,RE1,6.1056
RE1,PHL_PWR_WAT,PHL_DEM_PWR_SUR_WAT,2041,1,RE1,1,RE1,6.8279
RE1,PHL_PWR_WAT,PHL_DEM_PWR_SUR_WAT,2042,1,RE1,1,RE1,7.3192
RE1,PHL_PWR_WAT,PHL_DEM_PWR_SUR_WAT,2043,1,RE1,1,RE1,7.7495
RE1,PHL_PWR_WAT,PHL_DEM_PWR_SUR_WAT,2044,1,RE1,1,RE1,6.3987
RE1,PHL_PWR_WAT,PHL_DEM_PWR_SUR_WAT,2045,1,RE1,1,RE1,9.3852
RE1,PHL_PWR_WAT,PHL_DEM_PWR_SUR_WAT,2046,1,RE1,1,RE1,10.5893
RE1,PHL_PWR_WAT,PHL_DEM_PWR_SUR_WAT,2047,1,RE1,1,RE1,12.1385
RE1,PHL_PWR_WAT,PHL_DEM_PWR_SUR_WAT,2048,1,RE1,1,RE1,13.4007
RE1,PHL_PWR_WAT,PHL_DEM_PWR_SUR_WAT,2049,1,RE1,1,RE1,14.5662
RE1,PHL_PWR_WAT,PHL_DEM_PWR_SUR_WAT,2050,1,RE1,1,RE1,15.7015
RE1,PHL_PWR_WAT,PHL_DEM_PWR_SUR_WAT,2051,1,RE1,1,RE1,16.4029
RE1,PHL_PWR_WAT,PHL_DEM_PWR_SUR_WAT,2052,1,RE1,1,RE1,18.2271
RE1,PHL_PWR_WAT,PHL_DEM_PWR_SUR_WAT,2053,1,RE1,1,RE1,15.4872
RE1,PHL_HOU_COOK,PHL_HOU_COOK_BIOM,2020,1,RE1,1,RE1,8.2686
RE1,PHL_HOU_COOK,PHL_HOU_COOK_COAL,2021,1,RE1,1,RE1,8.3977
RE1,PHL_HOU_COOK,PHL_HOU_COOK_COAL,2022,1,RE1,1,RE1,8.5267
RE1,PHL_HOU_COOK,PHL_HOU_COOK_COAL,2023,1,RE1,1,RE1,8.6558
RE1,PHL_HOU_COOK,PHL_HOU_COOK_COAL,2024,1,RE1,1,RE1,8.7882
RE1,PHL_HOU_COOK,PHL_HOU_COOK_COAL,2025,1,RE1,1,RE1,9.0289
RE1,PHL_HOU_COOK,PHL_HOU_COOK_COAL,2026,1,RE1,1,RE1,9.4402
RE1,PHL_HOU_COOK,PHL_HOU_COOK_COAL,2027,1,RE1,1,RE1,9.5678
RE1,PHL_HOU_COOK,PHL_HOU_COOK_COAL,2028,1,RE1,1,RE1,9.6873
RE1,PHL_HOU_COOK,PHL_HOU_COOK_COAL,2029,1,RE1,1,RE1,9.7479
RE1,PHL_HOU_COOK,PHL_HOU_COOK_COAL,2030,1,RE1,1,RE1,9.7479
RE1,PHL_HOU_COOK,PHL_HOU_COOK_COAL,2031,1,RE1,1,RE1,9.7479
RE1,PHL_HOU_COOK,PHL_HOU_COOK_COAL,2032,1,RE1,1,RE1,9.8306
RE1,PHL_HOU_COOK,PHL_HOU_COOK_COAL,2033,1,RE1,1,RE1,9.946
RE1,PHL_HOU_COOK,PHL_HOU_COOK_COAL,2034,1,RE1,1,RE1,10.2658
RE1,PHL_HOU_COOK,PHL_HOU_COOK_COAL,2035,1,RE1,1,RE1,10.4781
RE1,PHL_HOU_COOK,PHL_HOU_COOK_COAL,2036,1,RE1,1,RE1,10.5779
RE1,PHL_HOU_COOK,PHL_HOU_COOK_COAL,2037,1,RE1,1,RE1,10.6777
RE1,PHL_HOU_COOK,PHL_HOU_COOK_COAL,2038,1,RE1,1,RE1,10.7776
RE1,PHL_HOU_COOK,PHL_HOU_COOK_COAL,2039,1,RE1,1,RE1,10.8774
RE1,PHL_HOU_COOK,PHL_HOU_COOK_COAL,2040,1,RE1,1,RE1,10.9773
RE1,PHL_HOU_COOK,PHL_HOU_COOK_COAL,2041,1,RE1,1,RE1,11.066
RE1,PHL_HOU_COOK,PHL_HOU_COOK_COAL,2042,1,RE1,1,RE1,11.1546
RE1,PHL_HOU_COOK,PHL_HOU_COOK_COAL,2043,1,RE1,1,RE1,11.2433
RE1,PHL_HOU_COOK,PHL_HOU_COOK_COAL,2044,1,RE1,1,RE1,11.332
RE1,PHL_HOU_COOK,PHL_HOU_COOK_COAL,2045,1,RE1,1,RE1,11.4207
RE1,PHL_HOU_COOK,PHL_HOU_COOK_COAL,2046,1,RE1,1,RE1,11.4975
RE1,PHL_HOU_COOK,PHL_HOU_COOK_COAL,2047,1,RE1,1,RE1,11.5742
RE1,PHL_HOU_COOK,PHL_HOU_COOK_COAL,2048,1,RE1,1,RE1,11.651
RE1,PHL_HOU_COOK,PHL_HOU_COOK_COAL,2049,1,RE1,1,RE1,11.7277
RE1,PHL_HOU_COOK,PHL_HOU_COOK_COAL,2050,1,RE1,1,RE1,11.8045
RE1,PHL_HOU_COOK,PHL_HOU_COOK_COAL,2051,1,RE1,1,RE1,11.8707
RE1,PHL_HOU_COOK,PHL_HOU_COOK_COAL,2052,1,RE1,1,RE1,11.9369
RE1,PHL_HOU_COOK,PHL_HOU_COOK_COAL,2053,1,RE1,1,RE1,12.0031
RE1,PHL_HOU_COOK,PHL_HOU_COOK_ELE,2020,1,RE1,1,RE1,0.4312
RE1,PHL_HOU_COOK,PHL_HOU_COOK_ELE,2021,1,RE1,1,RE1,0.4279
